age,job,marital,education,default,balance,housing,loan,contact,campaign,pdays,previous,poutcome,duration,y
57,technician,single,secondary,no,1869.0,yes,no,cellular,4,-1,0,unknown,187.0,no
26,technician,married,tertiary,no,3212.0,yes,no,unknown,2,-1,0,unknown,143.0,no
69,retired,single,secondary,no,-500.0,yes,no,cellular,4,-1,1,unknown,294.0,no
30,blue-collar,married,secondary,no,766.0,no,no,cellular,4,-1,0,unknown,309.0,yes
67,admin.,single,primary,no,1293.0,yes,no,telephone,4,-1,0,unknown,35.0,no
18,self-employed,married,secondary,no,3059.0,yes,no,cellular,6,-1,0,success,260.0,no
67,technician,married,secondary,no,431.0,no,yes,telephone,3,-1,1,unknown,265.0,no
66,management,single,tertiary,no,118.0,no,no,cellular,2,30,0,unknown,398.0,yes
66,blue-collar,married,tertiary,no,624.0,yes,no,unknown,7,-1,1,failure,61.0,no
59,blue-collar,married,tertiary,no,2245.0,no,no,cellular,1,120,1,unknown,206.0,no
47,management,married,secondary,no,1277.0,yes,no,cellular,1,-1,0,unknown,501.0,yes
61,technician,single,secondary,no,-500.0,no,no,unknown,4,-1,1,unknown,196.0,no
35,blue-collar,married,tertiary,no,-500.0,no,no,telephone,5,-1,0,unknown,226.0,no
66,self-employed,married,secondary,no,1646.0,yes,no,cellular,4,90,0,unknown,116.0,no
52,student,divorced,secondary,no,1706.0,no,no,unknown,1,90,1,other,452.0,no
46,technician,divorced,secondary,no,1450.0,no,no,cellular,4,-1,0,unknown,101.0,no
49,blue-collar,married,secondary,no,553.0,no,no,cellular,5,-1,2,unknown,204.0,no
53,technician,married,secondary,yes,2818.0,no,no,unknown,3,90,0,unknown,304.0,no
20,self-employed,married,secondary,no,2064.0,no,no,telephone,3,60,0,unknown,201.0,no
26,student,divorced,secondary,no,2003.0,yes,no,cellular,3,-1,0,other,36.0,no
33,admin.,married,secondary,no,2067.0,no,yes,unknown,3,-1,0,unknown,680.0,yes
25,management,married,secondary,no,4275.0,no,no,telephone,3,-1,1,unknown,13.0,no
45,self-employed,married,primary,no,-444.0,no,no,unknown,2,60,1,unknown,113.0,no
59,blue-collar,married,tertiary,no,642.0,yes,yes,cellular,1,-1,1,unknown,290.0,yes
58,management,married,tertiary,no,795.0,no,no,cellular,2,60,1,unknown,456.0,no
47,retired,single,tertiary,no,3664.0,yes,no,unknown,8,120,0,unknown,225.0,no
71,retired,married,tertiary,no,727.0,yes,no,unknown,2,-1,0,unknown,46.0,no
53,admin.,married,primary,no,-26.0,no,no,cellular,4,-1,0,unknown,203.0,no
22,management,single,primary,no,1210.0,no,no,cellular,7,-1,1,unknown,7.0,no
65,blue-collar,married,secondary,no,1588.0,yes,no,unknown,2,120,1,unknown,264.0,no
53,technician,married,secondary,no,3553.0,no,no,cellular,1,120,1,unknown,121.0,no
57,technician,married,tertiary,no,717.0,yes,no,cellular,2,-1,1,unknown,124.0,yes
53,blue-collar,single,secondary,no,163.0,yes,no,cellular,1,-1,2,unknown,446.0,no
52,blue-collar,married,tertiary,no,-238.0,yes,no,unknown,1,-1,1,unknown,210.0,no
23,blue-collar,single,secondary,no,780.0,no,yes,cellular,4,-1,0,unknown,165.0,no
52,management,married,secondary,no,6015.0,no,no,telephone,3,-1,0,unknown,309.0,yes
67,technician,married,tertiary,no,2088.0,no,no,telephone,4,-1,0,failure,289.0,no
36,management,married,secondary,no,2477.0,no,no,cellular,2,30,1,unknown,13.0,no
55,admin.,married,tertiary,no,1399.0,yes,no,telephone,3,30,2,failure,221.0,no
19,admin.,married,tertiary,no,1647.0,yes,no,cellular,4,-1,1,unknown,95.0,no
39,blue-collar,single,tertiary,no,2816.0,yes,no,cellular,1,-1,1,other,312.0,no
45,technician,married,tertiary,no,2413.0,yes,no,unknown,1,-1,0,failure,363.0,no
78,self-employed,married,secondary,no,2028.0,no,no,cellular,4,-1,0,unknown,136.0,no
31,retired,divorced,secondary,no,1429.0,yes,no,cellular,4,120,0,failure,228.0,no
35,blue-collar,married,tertiary,no,766.0,yes,no,cellular,3,-1,0,unknown,113.0,no
43,technician,married,secondary,no,2164.0,yes,no,unknown,3,-1,1,unknown,265.0,no
79,blue-collar,married,secondary,no,1550.0,yes,no,cellular,5,-1,0,unknown,100.0,no
70,technician,married,secondary,no,5239.0,no,no,cellular,3,365,0,unknown,103.0,no
20,technician,divorced,secondary,no,3291.0,yes,no,cellular,4,-1,1,unknown,52.0,no
32,management,divorced,secondary,no,186.0,yes,no,cellular,3,-1,1,other,240.0,no
68,technician,married,tertiary,no,-500.0,yes,no,cellular,4,-1,1,unknown,35.0,no
21,blue-collar,divorced,secondary,no,683.0,no,no,unknown,5,-1,0,other,116.0,no
71,services,married,secondary,no,-500.0,no,no,cellular,5,-1,0,unknown,60.0,no
35,admin.,divorced,primary,no,575.0,yes,yes,cellular,3,-1,0,failure,188.0,no
74,management,single,secondary,no,-345.0,yes,no,cellular,1,-1,1,unknown,389.0,yes
36,blue-collar,married,secondary,no,811.0,no,no,cellular,2,-1,0,unknown,91.0,no
44,admin.,married,tertiary,no,833.0,yes,no,cellular,6,-1,1,unknown,267.0,yes
59,admin.,single,primary,no,1665.0,no,no,telephone,2,180,2,other,185.0,no
25,blue-collar,married,secondary,no,1028.0,yes,no,cellular,1,-1,0,unknown,158.0,no
52,self-employed,married,primary,no,-224.0,no,no,telephone,4,-1,1,success,415.0,no
49,management,single,primary,no,3587.0,no,no,cellular,2,-1,0,success,328.0,no
66,blue-collar,married,tertiary,no,2125.0,no,no,telephone,2,-1,1,unknown,100.0,no
79,unemployed,married,tertiary,no,420.0,no,no,cellular,4,120,0,failure,243.0,no
59,technician,married,tertiary,no,-195.0,yes,no,unknown,4,90,1,unknown,367.0,no
43,blue-collar,single,tertiary,no,-500.0,yes,yes,unknown,3,-1,0,unknown,121.0,no
43,housemaid,married,primary,no,-500.0,yes,yes,cellular,3,-1,0,unknown,10.0,no
43,services,married,tertiary,no,3285.0,no,no,cellular,4,90,0,unknown,194.0,no
68,services,married,secondary,no,3094.0,yes,yes,unknown,5,-1,0,unknown,121.0,yes
37,blue-collar,married,tertiary,no,348.0,yes,yes,cellular,6,-1,0,other,138.0,no
28,services,single,secondary,no,3859.0,yes,no,cellular,5,-1,0,unknown,99.0,no
38,blue-collar,married,secondary,no,2510.0,yes,no,cellular,4,-1,0,other,130.0,no
19,blue-collar,single,secondary,no,1766.0,no,no,cellular,2,-1,0,success,335.0,no
24,services,married,primary,no,2951.0,yes,no,unknown,1,-1,0,unknown,466.0,no
23,self-employed,single,secondary,no,2513.0,no,no,unknown,6,-1,0,unknown,236.0,no
65,technician,married,secondary,no,1677.0,yes,no,cellular,4,-1,0,success,192.0,no
62,admin.,single,tertiary,no,968.0,no,no,unknown,1,-1,0,unknown,314.0,no
61,blue-collar,married,primary,no,1207.0,no,no,cellular,2,180,0,unknown,315.0,no
46,admin.,divorced,secondary,no,-500.0,no,no,unknown,2,-1,1,unknown,609.0,no
62,blue-collar,married,secondary,no,-41.0,yes,yes,cellular,4,30,1,unknown,71.0,no
27,admin.,married,primary,no,4640.0,yes,no,unknown,4,-1,0,success,493.0,yes
73,management,married,secondary,no,-89.0,no,no,unknown,5,-1,0,unknown,103.0,no
49,retired,married,secondary,no,-500.0,yes,no,cellular,4,-1,1,failure,174.0,no
76,services,married,secondary,no,3027.0,yes,no,cellular,3,90,1,unknown,51.0,no
27,entrepreneur,single,secondary,no,1848.0,yes,no,cellular,5,-1,1,unknown,46.0,no
48,admin.,single,primary,no,1949.0,yes,no,cellular,2,-1,0,unknown,228.0,no
61,services,single,secondary,no,1116.0,yes,no,unknown,3,-1,0,other,373.0,yes
48,admin.,divorced,tertiary,no,3039.0,no,no,telephone,6,-1,0,unknown,96.0,no
45,technician,married,tertiary,no,4153.0,yes,no,cellular,6,365,0,unknown,73.0,no
28,admin.,married,secondary,no,461.0,yes,no,telephone,1,-1,0,other,145.0,no
41,retired,single,secondary,no,2539.0,no,no,cellular,3,-1,1,success,137.0,yes
32,technician,married,tertiary,no,3413.0,yes,no,telephone,2,90,1,other,375.0,yes
36,retired,married,secondary,no,360.0,no,no,cellular,5,-1,1,other,121.0,no
60,self-employed,married,primary,no,4117.0,no,yes,telephone,3,-1,0,unknown,105.0,no
57,services,married,primary,no,3407.0,yes,yes,telephone,5,-1,0,failure,69.0,no
55,blue-collar,married,secondary,no,-500.0,yes,no,telephone,5,-1,0,unknown,226.0,no
40,services,married,tertiary,no,4271.0,yes,no,cellular,4,-1,0,unknown,61.0,no
77,technician,married,tertiary,no,-500.0,yes,no,cellular,6,-1,0,other,153.0,yes
23,technician,single,secondary,no,163.0,yes,no,cellular,3,-1,1,unknown,426.0,no
39,management,divorced,secondary,no,2631.0,no,no,cellular,4,-1,0,unknown,115.0,no
25,blue-collar,married,tertiary,no,3275.0,no,yes,unknown,5,-1,0,failure,46.0,no
39,student,married,secondary,yes,1578.0,no,no,cellular,6,120,1,unknown,156.0,no
77,retired,married,primary,no,266.0,yes,no,cellular,3,-1,0,unknown,388.0,yes
40,blue-collar,married,primary,no,932.0,no,no,unknown,5,-1,0,unknown,69.0,no
74,blue-collar,married,tertiary,no,719.0,no,no,cellular,3,-1,1,failure,102.0,no
48,blue-collar,single,tertiary,no,2914.0,yes,no,cellular,4,-1,0,unknown,298.0,no
61,management,single,secondary,no,669.0,yes,no,cellular,6,90,0,unknown,211.0,no
46,blue-collar,married,tertiary,no,227.0,no,yes,cellular,4,-1,0,other,201.0,no
34,admin.,single,primary,no,-500.0,yes,no,cellular,7,-1,0,unknown,561.0,no
65,admin.,single,secondary,no,330.0,no,no,cellular,6,-1,0,success,423.0,no
78,technician,single,tertiary,no,1187.0,yes,no,cellular,4,-1,0,unknown,89.0,no
34,admin.,married,tertiary,no,-500.0,no,no,cellular,3,60,0,failure,263.0,no
66,admin.,single,secondary,no,-500.0,yes,yes,cellular,4,-1,1,unknown,169.0,no
34,management,single,primary,no,3164.0,no,no,unknown,2,30,1,success,44.0,no
62,blue-collar,married,tertiary,no,-401.0,yes,no,cellular,8,30,1,other,155.0,no
66,technician,single,secondary,no,-500.0,yes,yes,cellular,2,30,1,unknown,163.0,no
45,technician,single,secondary,no,4225.0,no,no,cellular,4,-1,1,unknown,196.0,no
63,housemaid,married,primary,no,2928.0,yes,no,cellular,4,-1,0,unknown,274.0,no
34,management,married,primary,no,3246.0,yes,no,cellular,4,180,0,success,153.0,yes
22,entrepreneur,married,secondary,no,2309.0,yes,no,cellular,4,365,1,unknown,194.0,no
23,admin.,single,secondary,no,3760.0,yes,no,unknown,3,120,0,unknown,101.0,yes
45,blue-collar,married,secondary,no,2990.0,yes,no,cellular,1,120,0,unknown,48.0,no
73,blue-collar,married,secondary,no,780.0,yes,yes,cellular,2,90,1,unknown,43.0,no
25,admin.,married,secondary,no,-500.0,yes,no,cellular,2,-1,1,unknown,193.0,no
46,retired,single,secondary,no,-500.0,no,no,cellular,3,-1,0,unknown,141.0,no
61,admin.,single,secondary,yes,1149.0,no,no,cellular,5,-1,0,unknown,198.0,no
30,admin.,married,secondary,no,-500.0,yes,no,cellular,2,-1,0,other,54.0,no
62,management,married,tertiary,no,-36.0,yes,yes,unknown,4,30,0,unknown,152.0,no
36,management,married,tertiary,no,1126.0,no,no,cellular,4,-1,0,unknown,171.0,no
68,blue-collar,married,secondary,no,3916.0,no,no,cellular,4,-1,0,unknown,140.0,yes
53,admin.,single,tertiary,no,-500.0,yes,yes,cellular,2,30,1,failure,91.0,no
51,blue-collar,married,tertiary,no,1454.0,yes,yes,cellular,7,-1,0,other,74.0,no
28,blue-collar,single,primary,no,-500.0,yes,no,unknown,6,-1,1,unknown,161.0,no
46,technician,single,tertiary,no,399.0,yes,yes,cellular,2,-1,0,unknown,408.0,yes
71,technician,divorced,secondary,no,3074.0,no,no,unknown,4,-1,0,unknown,302.0,no
19,housemaid,married,secondary,no,-127.0,yes,no,unknown,4,-1,0,failure,74.0,no
65,housemaid,married,secondary,no,926.0,yes,no,cellular,4,-1,0,unknown,199.0,no
48,services,married,secondary,no,1654.0,yes,no,unknown,5,-1,2,unknown,511.0,no
62,self-employed,divorced,tertiary,no,2662.0,yes,no,unknown,4,-1,1,failure,212.0,no
59,blue-collar,single,tertiary,no,414.0,yes,no,cellular,5,-1,1,other,394.0,yes
44,admin.,single,primary,no,3669.0,no,yes,unknown,2,120,2,unknown,228.0,no
37,management,single,secondary,yes,599.0,no,no,cellular,2,60,1,unknown,196.0,yes
56,retired,married,tertiary,no,2272.0,no,no,cellular,3,-1,0,unknown,364.0,yes
26,blue-collar,single,tertiary,no,1058.0,yes,no,cellular,6,-1,1,unknown,287.0,no
54,blue-collar,single,secondary,no,2734.0,yes,no,unknown,4,-1,0,unknown,271.0,no
23,blue-collar,married,secondary,no,5050.0,yes,no,cellular,7,-1,0,unknown,382.0,no
58,blue-collar,divorced,secondary,no,900.0,no,no,cellular,2,-1,1,unknown,64.0,no
56,management,divorced,primary,no,1371.0,no,no,telephone,4,60,1,unknown,147.0,no
23,services,divorced,tertiary,no,622.0,no,no,telephone,3,-1,0,unknown,151.0,no
64,management,single,tertiary,no,345.0,yes,no,unknown,5,-1,0,unknown,63.0,no
43,blue-collar,married,tertiary,no,141.0,no,no,cellular,8,-1,0,unknown,285.0,no
66,admin.,married,primary,no,1366.0,yes,no,telephone,4,-1,0,unknown,286.0,no
20,technician,married,tertiary,no,1.0,no,no,cellular,2,-1,0,success,242.0,no
29,management,single,tertiary,no,56.0,no,no,telephone,5,-1,0,unknown,163.0,no
48,admin.,married,secondary,no,-500.0,no,no,cellular,3,-1,0,unknown,346.0,no
29,blue-collar,single,tertiary,no,3893.0,no,no,cellular,2,365,0,unknown,440.0,no
38,technician,married,secondary,no,4359.0,yes,no,cellular,4,-1,0,failure,75.0,no
58,student,married,secondary,no,2568.0,no,no,cellular,5,-1,1,unknown,253.0,yes
26,technician,married,primary,no,-173.0,yes,no,telephone,3,30,1,unknown,68.0,no
60,self-employed,single,primary,no,-500.0,no,no,cellular,3,-1,0,unknown,114.0,no
24,housemaid,married,primary,no,-500.0,yes,no,unknown,4,-1,0,unknown,222.0,no
28,management,married,tertiary,no,2550.0,no,no,cellular,2,-1,0,unknown,53.0,yes
54,blue-collar,married,secondary,no,3678.0,yes,no,cellular,4,60,0,success,496.0,no
67,services,married,primary,no,1699.0,yes,no,unknown,3,30,0,unknown,157.0,no
28,retired,divorced,primary,no,2944.0,yes,yes,cellular,2,-1,0,unknown,51.0,no
36,blue-collar,married,secondary,no,2201.0,yes,no,cellular,5,30,1,unknown,185.0,no
75,technician,married,tertiary,no,12.0,yes,no,cellular,5,-1,0,unknown,183.0,no
79,entrepreneur,married,secondary,no,3217.0,yes,yes,cellular,4,-1,0,unknown,163.0,no
54,admin.,married,tertiary,no,3102.0,yes,yes,cellular,5,-1,1,failure,227.0,no
45,blue-collar,married,tertiary,no,-383.0,yes,no,unknown,6,-1,1,success,147.0,no
39,technician,married,tertiary,no,2853.0,yes,no,cellular,4,-1,0,unknown,192.0,no
55,technician,married,tertiary,no,1134.0,yes,yes,cellular,7,-1,0,unknown,202.0,no
54,management,married,secondary,no,930.0,yes,no,cellular,3,90,0,unknown,49.0,no
36,technician,married,tertiary,no,2103.0,no,yes,unknown,3,-1,0,success,350.0,no
19,technician,single,secondary,no,2047.0,yes,no,unknown,1,-1,1,unknown,230.0,no
27,technician,married,tertiary,no,3000.0,no,yes,cellular,4,-1,1,unknown,146.0,no
77,technician,single,secondary,no,-129.0,no,no,unknown,3,90,2,unknown,217.0,no
43,entrepreneur,single,primary,no,2418.0,yes,no,cellular,4,-1,0,success,663.0,yes
47,student,divorced,tertiary,no,-500.0,no,no,cellular,3,90,1,failure,152.0,no
46,retired,married,tertiary,no,1078.0,no,no,cellular,5,-1,0,unknown,643.0,no
66,services,single,tertiary,no,1198.0,yes,no,unknown,1,-1,0,unknown,387.0,no
22,blue-collar,single,tertiary,no,3146.0,no,no,cellular,3,-1,0,unknown,159.0,no
23,services,divorced,tertiary,no,1417.0,yes,no,telephone,1,-1,0,unknown,668.0,yes
35,technician,single,secondary,no,929.0,no,no,cellular,3,-1,1,unknown,430.0,no
48,blue-collar,married,tertiary,no,3967.0,yes,no,cellular,4,-1,0,success,215.0,no
59,unemployed,divorced,secondary,no,628.0,no,no,unknown,3,60,0,success,193.0,no
48,entrepreneur,single,primary,no,552.0,yes,no,cellular,4,90,0,unknown,300.0,no
45,blue-collar,married,secondary,no,-500.0,no,no,telephone,3,-1,0,other,161.0,no
76,admin.,married,secondary,no,1010.0,no,no,cellular,3,-1,1,unknown,339.0,no
27,technician,divorced,secondary,no,-291.0,no,no,cellular,5,90,1,unknown,61.0,no
53,retired,married,tertiary,no,949.0,no,yes,cellular,2,90,0,unknown,107.0,no
51,blue-collar,single,primary,no,1832.0,yes,yes,telephone,2,30,0,unknown,104.0,no
47,self-employed,married,tertiary,no,-500.0,yes,yes,cellular,7,-1,0,other,322.0,no
68,blue-collar,single,secondary,no,-81.0,no,no,cellular,3,-1,1,unknown,106.0,no
34,management,married,tertiary,no,-500.0,yes,yes,cellular,4,-1,1,unknown,85.0,no
77,technician,single,secondary,no,482.0,yes,no,cellular,3,-1,2,success,67.0,no
38,services,married,secondary,no,-300.0,yes,no,telephone,4,-1,0,unknown,163.0,no
51,student,divorced,tertiary,yes,5260.0,yes,yes,cellular,4,60,0,unknown,52.0,no
50,retired,married,secondary,no,4107.0,yes,no,unknown,4,-1,0,unknown,537.0,no
70,unemployed,married,primary,no,3815.0,yes,no,telephone,3,-1,0,unknown,272.0,no
45,blue-collar,married,primary,no,-500.0,yes,no,cellular,4,-1,2,unknown,170.0,no
35,blue-collar,married,primary,no,1081.0,no,no,cellular,1,-1,1,unknown,88.0,no
19,admin.,divorced,secondary,no,-500.0,no,no,cellular,4,120,1,unknown,65.0,no
40,retired,married,secondary,no,4717.0,yes,no,cellular,3,30,0,unknown,85.0,no
69,self-employed,married,secondary,no,2896.0,no,no,cellular,1,-1,0,failure,77.0,no
18,services,single,tertiary,no,-495.0,no,no,cellular,4,-1,1,unknown,226.0,no
73,blue-collar,married,primary,no,2065.0,yes,yes,telephone,5,-1,1,other,287.0,no
51,admin.,married,primary,no,-500.0,no,no,cellular,7,365,0,unknown,231.0,yes
26,services,single,tertiary,no,1154.0,no,no,telephone,5,-1,0,unknown,288.0,yes
36,unemployed,married,tertiary,no,1084.0,yes,no,cellular,4,-1,1,unknown,37.0,yes
52,blue-collar,single,tertiary,no,2731.0,no,no,telephone,4,-1,0,unknown,86.0,no
37,blue-collar,single,tertiary,no,3178.0,yes,no,cellular,5,-1,1,unknown,109.0,no
24,blue-collar,married,tertiary,no,1437.0,no,no,telephone,2,365,0,success,96.0,yes
59,management,married,tertiary,no,997.0,yes,no,cellular,5,-1,1,unknown,109.0,no
59,blue-collar,single,secondary,no,-500.0,yes,no,cellular,2,180,2,failure,92.0,yes
25,blue-collar,married,secondary,no,4212.0,no,no,cellular,4,-1,2,unknown,567.0,yes
